name,n,four_point_p95,tree_error,random_tree_median_error,svd_error,svd_rank,sparse_error,tree_nominal_budget
transformer.h.0.attn.attention.k_proj.weight,64,0.10819964369734598,0.9055301169788496,0.905534198913929,0.9055161576609317,1,0.7928104730310609,254
transformer.h.0.attn.attention.v_proj.weight,64,0.09615256482332375,0.9426017602087681,0.9426294306200563,0.9426467683632824,1,0.8173477334000305,254
transformer.h.0.attn.attention.q_proj.weight,64,0.10142793258288894,0.8806027101754896,0.8822640621812476,0.8832717878986377,1,0.7370352672253598,254
transformer.h.0.attn.attention.out_proj.weight,64,0.10152183591872864,0.9421968435576693,0.9421415393154516,0.9421500316645519,1,0.7949081926278554,254
transformer.h.1.attn.attention.k_proj.weight,64,0.12430452000400817,0.8118147117697015,0.8119090859082516,0.811810418598388,1,0.7604440223410449,254
transformer.h.1.attn.attention.v_proj.weight,64,0.10488315167115221,0.9190379746827552,0.9190408180603955,0.9190237384248354,1,0.7929364051443937,254
transformer.h.1.attn.attention.q_proj.weight,64,0.12827800219287538,0.8252249058826946,0.8256839206322555,0.8256845175716765,1,0.679344594888259,254
transformer.h.1.attn.attention.out_proj.weight,64,0.11050044142170355,0.9143234505954095,0.9149966741235468,0.9150592654649595,1,0.7925932078406076,254
transformer.h.2.attn.attention.k_proj.weight,64,0.10045832333636869,0.6612899379977872,0.6611194845899242,0.661078477159031,1,0.7454290399253293,254
transformer.h.2.attn.attention.v_proj.weight,64,0.09119303967070246,0.9573874821959324,0.9574166813916742,0.9573298332567307,1,0.7667569729718036,254
transformer.h.2.attn.attention.q_proj.weight,64,0.11462816338814294,0.6296913088792083,0.6296107760366696,0.6296964118376466,1,0.7537228354199452,254
transformer.h.2.attn.attention.out_proj.weight,64,0.09507356602031176,0.9578588900209535,0.9578071344531752,0.9586417815310107,1,0.782581226252877,254
transformer.h.3.attn.attention.k_proj.weight,64,0.10785143227838899,0.7753575047345316,0.7751869313665608,0.775376033131754,1,0.745928841837845,254
transformer.h.3.attn.attention.v_proj.weight,64,0.09087576275027631,0.9534291165867743,0.9558830776787786,0.9565022660896231,1,0.7992814645440184,254
transformer.h.3.attn.attention.q_proj.weight,64,0.1180840510160094,0.729735998761554,0.7296373084425999,0.7297098130098538,1,0.7469829828622652,254
transformer.h.3.attn.attention.out_proj.weight,64,0.10155921998448533,0.950901649676284,0.9509049560325803,0.950883331485507,1,0.7997914104630028,254
transformer.h.4.attn.attention.k_proj.weight,64,0.11707224889456305,0.7879532375323122,0.787804679683958,0.7877456791253392,1,0.7709022452622288,254
transformer.h.4.attn.attention.v_proj.weight,64,0.09395766125137851,0.9572688597249546,0.9573181168803839,0.9573861895757273,1,0.8032224801769157,254
transformer.h.4.attn.attention.q_proj.weight,64,0.10807831926437378,0.819472025216371,0.8194392451216495,0.8193842242129602,1,0.7300790551378936,254
transformer.h.4.attn.attention.out_proj.weight,64,0.10179055891828977,0.9535643655730668,0.9537151951567613,0.954651740085719,1,0.8166360156468487,254
transformer.h.5.attn.attention.k_proj.weight,64,0.10693736535509553,0.8265525425742546,0.8264864147512525,0.8264697018311967,1,0.7925198117350679,254
transformer.h.5.attn.attention.v_proj.weight,64,0.08961490156820992,0.9607564871040752,0.9607504744429713,0.9607303483412621,1,0.8115357468482253,254
transformer.h.5.attn.attention.q_proj.weight,64,0.10942740478882852,0.8274161702424352,0.8275871965252752,0.8275860827074345,1,0.7461986689542685,254
transformer.h.5.attn.attention.out_proj.weight,64,0.09588794855666677,0.958326525377484,0.9584364636833671,0.9583860040428382,1,0.8046217788770664,254
transformer.h.6.attn.attention.k_proj.weight,64,0.10784293128644555,0.7829977708749749,0.783296753633365,0.7832240561251076,1,0.7749043003475161,254
transformer.h.6.attn.attention.v_proj.weight,64,0.09382440237513302,0.9569743799286183,0.9587430504412382,0.9589856770067253,1,0.8021811349430082,254
transformer.h.6.attn.attention.q_proj.weight,64,0.12024074471843796,0.7960371012168485,0.7960498775635563,0.7960808851398515,1,0.7435056582812312,254
transformer.h.6.attn.attention.out_proj.weight,64,0.10249814228240349,0.9523470490776624,0.9523721356378758,0.9523132956137238,1,0.8099570618544986,254
transformer.h.7.attn.attention.k_proj.weight,64,0.12127862166736143,0.8463824631696314,0.8461660545804461,0.8461232070505101,1,0.7903351117261053,254
transformer.h.7.attn.attention.v_proj.weight,64,0.09646018515446644,0.9615778049843157,0.9616781455886414,0.9616252699193176,1,0.8085615348928439,254
transformer.h.7.attn.attention.q_proj.weight,64,0.12546667600206735,0.8291357365967524,0.829321954618739,0.8291201640931534,1,0.781920600919279,254
transformer.h.7.attn.attention.out_proj.weight,64,0.10001795366526979,0.9586041257023022,0.9587668291819571,0.9594940378134785,1,0.7873536546427746,254
